"date","ms"
"11/21/1398, 14:22:08",318
"11/21/1398, 14:22:08",327
"11/21/1398, 14:22:08",351
"11/21/1398, 14:22:08",701
"11/21/1398, 14:22:08",296
"11/21/1398, 14:22:08",323
"11/21/1398, 14:22:08",345
"11/21/1398, 14:22:08",370
"11/21/1398, 14:22:08",299
"11/21/1398, 14:22:08",623
"11/21/1398, 14:22:08",337
"11/21/1398, 14:22:08",280
"11/21/1398, 14:22:08",288
"11/21/1398, 14:22:08",272
"11/21/1398, 14:22:08",279
"11/21/1398, 14:22:08",354
"11/21/1398, 14:22:08",581
"11/21/1398, 14:22:08",401
"11/21/1398, 14:22:08",322
"11/21/1398, 14:22:08",346
"11/21/1398, 14:22:09",318
"11/21/1398, 14:22:09",327
"11/21/1398, 14:22:09",351
"11/21/1398, 14:22:09",701
"11/21/1398, 14:22:09",296
"11/21/1398, 14:22:09",323
"11/21/1398, 14:22:09",345
"11/21/1398, 14:22:09",370
"11/21/1398, 14:22:09",299
"11/21/1398, 14:22:09",623
"11/21/1398, 14:22:09",337
"11/21/1398, 14:22:09",280
"11/21/1398, 14:22:09",288
"11/21/1398, 14:22:09",272
"11/21/1398, 14:22:09",279
"11/21/1398, 14:22:09",354
"11/21/1398, 14:22:09",581
"11/21/1398, 14:22:09",401
"11/21/1398, 14:22:09",322
"11/21/1398, 14:22:09",346
"11/21/1398, 14:22:10",318
"11/21/1398, 14:22:10",327
"11/21/1398, 14:22:10",351
"11/21/1398, 14:22:10",701
"11/21/1398, 14:22:10",296
"11/21/1398, 14:22:10",323
"11/21/1398, 14:22:10",345
"11/21/1398, 14:22:10",370
"11/21/1398, 14:22:10",299
"11/21/1398, 14:22:10",623
"11/21/1398, 14:22:10",337
"11/21/1398, 14:22:10",280
"11/21/1398, 14:22:10",288
"11/21/1398, 14:22:10",272
"11/21/1398, 14:22:10",279
"11/21/1398, 14:22:10",354
"11/21/1398, 14:22:10",581
"11/21/1398, 14:22:10",401
"11/21/1398, 14:22:10",322
"11/21/1398, 14:22:10",346
"11/21/1398, 14:22:11",318
"11/21/1398, 14:22:11",327
"11/21/1398, 14:22:11",351
"11/21/1398, 14:22:11",701
"11/21/1398, 14:22:11",296
"11/21/1398, 14:22:11",323
"11/21/1398, 14:22:11",345
"11/21/1398, 14:22:11",370
"11/21/1398, 14:22:11",299
"11/21/1398, 14:22:11",623
"11/21/1398, 14:22:11",337
"11/21/1398, 14:22:11",280
"11/21/1398, 14:22:11",288
"11/21/1398, 14:22:11",272
"11/21/1398, 14:22:11",279
"11/21/1398, 14:22:11",354
"11/21/1398, 14:22:11",581
"11/21/1398, 14:22:11",401
"11/21/1398, 14:22:11",322
"11/21/1398, 14:22:11",346
"11/21/1398, 14:22:12",318
"11/21/1398, 14:22:12",327
"11/21/1398, 14:22:12",351
"11/21/1398, 14:22:12",701
"11/21/1398, 14:22:12",296
"11/21/1398, 14:22:12",323
"11/21/1398, 14:22:12",345
"11/21/1398, 14:22:12",370
"11/21/1398, 14:22:12",299
"11/21/1398, 14:22:12",623
"11/21/1398, 14:22:12",337
"11/21/1398, 14:22:12",280
"11/21/1398, 14:22:12",288
"11/21/1398, 14:22:12",272
"11/21/1398, 14:22:12",279
"11/21/1398, 14:22:12",354
"11/21/1398, 14:22:12",581
"11/21/1398, 14:22:12",401
"11/21/1398, 14:22:12",322
"11/21/1398, 14:22:12",346
"11/21/1398, 14:22:13",318
"11/21/1398, 14:22:13",327
"11/21/1398, 14:22:13",351
"11/21/1398, 14:22:13",701
"11/21/1398, 14:22:13",296
"11/21/1398, 14:22:13",323
"11/21/1398, 14:22:13",345
"11/21/1398, 14:22:13",370
"11/21/1398, 14:22:13",299
"11/21/1398, 14:22:13",623
"11/21/1398, 14:22:13",337
"11/21/1398, 14:22:13",280
"11/21/1398, 14:22:13",288
"11/21/1398, 14:22:13",272
"11/21/1398, 14:22:13",279
"11/21/1398, 14:22:13",354
"11/21/1398, 14:22:13",581
"11/21/1398, 14:22:13",401
"11/21/1398, 14:22:13",322
"11/21/1398, 14:22:13",346
"11/21/1398, 14:22:14",318
"11/21/1398, 14:22:14",327
"11/21/1398, 14:22:14",351
"11/21/1398, 14:22:14",701
"11/21/1398, 14:22:14",296
"11/21/1398, 14:22:14",323
"11/21/1398, 14:22:14",345
"11/21/1398, 14:22:14",370
"11/21/1398, 14:22:14",299
"11/21/1398, 14:22:14",623
"11/21/1398, 14:22:14",337
"11/21/1398, 14:22:14",280
"11/21/1398, 14:22:14",288
"11/21/1398, 14:22:14",272
"11/21/1398, 14:22:14",279
"11/21/1398, 14:22:14",354
"11/21/1398, 14:22:14",581
"11/21/1398, 14:22:14",401
"11/21/1398, 14:22:14",322
"11/21/1398, 14:22:14",346
"11/21/1398, 14:22:15",318
"11/21/1398, 14:22:15",327
"11/21/1398, 14:22:15",351
